review,rating,date,bank,source,sentiment_label,sentiment_score,cleaned_review,identified_theme
"Easy to use, nice design, clean feeling. I've said it once before and I'll say it again with more detail. The cash back feature on this app is my favorite. It beats other banking apps that I've used. Other apps will only allow cash back as a statement credit. Chase gives you the option of statement credit or cash back sent to another checking account. Because of this, I am willing to keep using chase instead of other banks. Thank you, Chase.",5,2025-06-04 20:28:13,Chase,Google Play Store,POSITIVE,0.9993525147438048,easy use nice design clean feeling say detail cash feature app favorite beat banking app app allow cash statement credit chase give option statement credit cash send check account willing chase instead bank thank chase,User Experience
terrible,1,2025-06-04 18:42:11,Chase,Google Play Store,NEGATIVE,0.999752938747406,terrible,Other
i love CHASE BANK,5,2025-06-04 18:22:54,Chase,Google Play Store,POSITIVE,0.9998356103897096,love chase bank,Other
they've been great to me for 4 years now,5,2025-06-04 18:19:34,Chase,Google Play Store,POSITIVE,0.9995385408401488,great year,Other
I Love This Bank! Very Easy To Operate the Banking App!,5,2025-06-04 17:54:16,Chase,Google Play Store,POSITIVE,0.9997889399528505,love bank easy operate banking app,Other
I think that Chase Mobile Banking app should show all of your subscriptions & whatever is taken out of bank account that your paying for & if you want to cancel them your able to do so .,3,2025-06-04 17:36:33,Chase,Google Play Store,NEGATIVE,0.9992363452911376,think chase mobile banking app subscription take bank account pay want cancel able,Other
very easy to use app,5,2025-06-04 16:03:09,Chase,Google Play Store,POSITIVE,0.9974349141120912,easy use app,Other
I love my Chase card!!!,5,2025-06-04 15:37:43,Chase,Google Play Store,POSITIVE,0.99987530708313,love chase card,Other
when I have a problem they are right on top of it and take care of it,5,2025-06-04 14:24:29,Chase,Google Play Store,POSITIVE,0.995253086090088,problem right care,Other
"Don't use this bank or app unless you want to be constantly asked what you are doing with your money and whatnot. I understand that scamming has become more rampant lately, but good grief. Why I got to explain myself about what I do with my money? Also, if they close your account(s), don't expect an answer if you ask them. They'll just tell you that they don't know when they clearly do. (As a former customer, I feel like I have the right to know why my account(s) were closed)",1,2025-06-04 13:38:33,Chase,Google Play Store,NEGATIVE,0.847353994846344,use bank app want constantly ask money whatnot understand scamming rampant lately good grief get explain money close expect answer ask tell know clearly customer feel like right know close,Other
great bank,5,2025-06-04 12:47:25,Chase,Google Play Store,POSITIVE,0.9988124370574952,great bank,Other
The app is easy to use! Love it!,5,2025-06-04 12:18:26,Chase,Google Play Store,POSITIVE,0.9998400211334229,app easy use love,Other
Love having all my Chase accounts in one place.,5,2025-06-04 11:54:04,Chase,Google Play Store,POSITIVE,0.9996955394744872,love have chase account place,Other
always so so nice here! wish they could get new/ better working arms? tho,5,2025-06-04 11:10:06,Chase,Google Play Store,POSITIVE,0.9973351359367372,nice wish well work arm tho,Other
best app ever,5,2025-06-04 09:48:16,Chase,Google Play Store,POSITIVE,0.9997491240501404,good app,Other
19.4% interest rate is usurious but it's Amerikkka where everything is criminally corrupt.,1,2025-06-04 08:55:44,Chase,Google Play Store,NEGATIVE,0.9825802445411682,interest rate usurious amerikkka criminally corrupt,Other
best ever,5,2025-06-04 08:17:44,Chase,Google Play Store,POSITIVE,0.999841570854187,well,Other
always great customer service.,5,2025-06-04 07:09:26,Chase,Google Play Store,POSITIVE,0.9998536109924316,great customer service,Customer Support
wat to much advertising for other credit cards but other then that good product.,4,2025-06-04 06:35:51,Chase,Google Play Store,NEGATIVE,0.826116144657135,wat advertising credit card good product,Other
very easy to use,5,2025-06-04 04:27:23,Chase,Google Play Store,POSITIVE,0.999142289161682,easy use,Other
too quick to cut off credit need to change their policy,2,2025-06-04 04:07:36,Chase,Google Play Store,NEGATIVE,0.995807409286499,quick cut credit need change policy,User Experience
Convenient!,5,2025-06-04 00:32:06,Chase,Google Play Store,POSITIVE,0.9936902523040771,convenient,Other
Neither the Chase app or website work for me. I give up trying.,2,2025-06-03 23:39:17,Chase,Google Play Store,NEGATIVE,0.9991996884346008,chase app website work try,Other
The app is very streamlined and easy to use.,5,2025-06-03 19:38:51,Chase,Google Play Store,POSITIVE,0.9997501969337464,app streamlined easy use,Other
"works well, quick, secure, 👍🔐",4,2025-06-03 19:16:03,Chase,Google Play Store,POSITIVE,0.999754011631012,work quick secure,User Experience
Always been there for me.,5,2025-06-03 18:59:15,Chase,Google Play Store,POSITIVE,0.9989185333251952,,Other
Best company to deal with by far. 100% pleased all around.,5,2025-06-03 17:28:51,Chase,Google Play Store,POSITIVE,0.9998451471328736,good company deal far pleased,Other
Decent and all but WHY do you have options to edit phone numbers or PINs on the app if I STILL HAVE TO CALL YOU OR VISIT A BRANCH TO CHANGE IT? Why even have the blasted button????,3,2025-06-03 16:17:52,Chase,Google Play Store,NEGATIVE,0.9986472725868224,decent option edit phone number pin app visit branch change blast button,Other
i dont like people seeing my info.,1,2025-06-03 15:59:13,Chase,Google Play Store,NEGATIVE,0.9864126443862916,not like people see info,Other
great job,5,2025-06-03 15:06:35,Chase,Google Play Store,POSITIVE,0.999858856201172,great job,Other
use this app for the last 9 years had no problems,5,2025-06-03 13:34:36,Chase,Google Play Store,POSITIVE,0.9567438960075378,use app year problem,Other
Won't load waste of time looking for another bank.,1,2025-06-03 13:34:20,Chase,Google Play Store,NEGATIVE,0.9864745736122132,will load waste time look bank,Other
no raise in few years,3,2025-06-03 12:37:52,Chase,Google Play Store,NEGATIVE,0.9991920590400696,raise year,Other
very good,5,2025-06-03 11:13:30,Chase,Google Play Store,POSITIVE,0.9998520612716676,good,Other
can't even log in to my app to pay my bill. chase won't let me!,1,2025-06-03 10:57:19,Chase,Google Play Store,NEGATIVE,0.993837296962738,log app pay bill chase will let,Other
Just randomly making the app unusable so I cannot access my stuff,1,2025-06-03 10:26:04,Chase,Google Play Store,NEGATIVE,0.9995800852775574,randomly make app unusable access stuff,Other
wonderful app,5,2025-06-03 10:25:43,Chase,Google Play Store,POSITIVE,0.9998787641525269,wonderful app,Other
As of now I have had no problems with Chase Bank.,5,2025-06-03 10:21:44,Chase,Google Play Store,POSITIVE,0.9968727231025696,problem chase bank,Other
love chase credit cards,5,2025-06-03 10:20:07,Chase,Google Play Store,POSITIVE,0.9997377991676332,love chase credit card,Other
"easy and reliable to use, its easy to understand stand from my prospective",5,2025-06-03 08:10:24,Chase,Google Play Store,POSITIVE,0.9989301562309264,easy reliable use easy understand stand prospective,Other
"Chase is great. ""all is well""",5,2025-06-03 07:24:39,Chase,Google Play Store,POSITIVE,0.9998703002929688,chase great,Other
knows nothing about my existing account. how am I supposed to login? I hate bank apps,1,2025-06-03 07:16:05,Chase,Google Play Store,NEGATIVE,0.999476969242096,know exist account suppose login hate bank app,Account Access
"Easy, reliable, secure financial services... simple banking for my simple needs, but should I ever grow financially I know I'm right where I need to be. With all the advice I can get.",4,2025-06-03 06:34:36,Chase,Google Play Store,POSITIVE,0.9982689619064332,easy reliable secure financial service simple banking simple need grow financially know right need advice,Other
Doesn't allow notifications for when money is deposted. Can't verify new external banks. App needs work.,2,2025-06-03 05:47:11,Chase,Google Play Store,NEGATIVE,0.9990203380584716,allow notification money deposte verify new external bank app need work,Other
some features don't work and the app has become very slow,3,2025-06-03 03:36:31,Chase,Google Play Store,NEGATIVE,0.9997966885566713,feature work app slow,Performance
best app to check out your account balance and more.,5,2025-06-03 00:45:09,Chase,Google Play Store,POSITIVE,0.9977477192878724,good app check account balance,Other
best,5,2025-06-02 23:32:39,Chase,Google Play Store,POSITIVE,0.9997941851615906,well,Other
This is hard to work.,4,2025-06-02 23:24:53,Chase,Google Play Store,NEGATIVE,0.9997642636299132,hard work,Other
the best,5,2025-06-02 21:33:38,Chase,Google Play Store,POSITIVE,0.9998332262039183,good,Other
love the security they have and the personality of the bankers and the VP very helpful people,5,2025-06-02 21:28:15,Chase,Google Play Store,POSITIVE,0.9998100399971008,love security personality banker vp helpful people,Other
great banking app,5,2025-06-02 21:26:47,Chase,Google Play Store,POSITIVE,0.9997250437736512,great banking app,Other
I love how my card is accepted everywhere and the rewards program is great!!,5,2025-06-02 21:19:51,Chase,Google Play Store,POSITIVE,0.999881625175476,love card accept reward program great,Other
nise,5,2025-06-02 19:55:07,Chase,Google Play Store,NEGATIVE,0.7907918691635132,nise,Other
Excellent credit service!!!,5,2025-06-02 19:02:44,Chase,Google Play Store,POSITIVE,0.9998601675033568,excellent credit service,Other
Easy to use.,5,2025-06-02 18:29:54,Chase,Google Play Store,POSITIVE,0.9991925358772278,easy use,Other
very good,4,2025-06-02 18:22:46,Chase,Google Play Store,POSITIVE,0.9998520612716676,good,Other
👍,5,2025-06-02 17:53:05,Chase,Google Play Store,NEGATIVE,0.6970565915107727,,Other
app is so slow now.,1,2025-06-02 14:20:11,Chase,Google Play Store,NEGATIVE,0.999743402004242,app slow,Performance
"The mobile Chase app (cell phone) seems to work, but I can not access Chase from my laptop. I am concerned.",1,2025-06-02 14:12:50,Chase,Google Play Store,NEGATIVE,0.885117769241333,mobile chase app cell phone work access chase laptop concern,Other
good people doing good work,5,2025-06-02 13:56:50,Chase,Google Play Store,POSITIVE,0.9998464584350586,good people good work,Other
Love Chase rotating 5% bonus categories!,5,2025-06-02 13:44:20,Chase,Google Play Store,POSITIVE,0.992201805114746,love chase rotate bonus category,Other
"works good for me, but when it doesn't customer service always professional and polite",5,2025-06-02 13:40:27,Chase,Google Play Store,POSITIVE,0.9950868487358092,work good customer service professional polite,Customer Support
it is very user friendly.,5,2025-06-02 13:23:48,Chase,Google Play Store,POSITIVE,0.9949905276298524,user friendly,Other
easy to use,5,2025-06-02 10:44:41,Chase,Google Play Store,POSITIVE,0.9988542795181274,easy use,Other
Easy to navigate,5,2025-06-02 09:50:13,Chase,Google Play Store,POSITIVE,0.9997637867927552,easy navigate,Other
"everything is easy to do, like make a payment",5,2025-06-02 09:42:42,Chase,Google Play Store,POSITIVE,0.9964894652366638,easy like payment,Transaction Performance
nice points are the best,5,2025-06-02 08:20:51,Chase,Google Play Store,POSITIVE,0.9998478889465332,nice point good,Other
"Love this app. Thank you, Chase Bank",5,2025-06-02 08:17:44,Chase,Google Play Store,POSITIVE,0.9998596906661988,love app thank chase bank,Other
I love having a bank account with chase bank,5,2025-06-02 07:00:25,Chase,Google Play Store,POSITIVE,0.9987334609031676,love have bank account chase bank,Other
very friendly and great customer service,5,2025-06-02 04:52:42,Chase,Google Play Store,POSITIVE,0.9998792409896852,friendly great customer service,Customer Support
just another brick in the wall.,4,2025-06-02 04:02:13,Chase,Google Play Store,NEGATIVE,0.997976005077362,brick wall,Other
"Question, why do I have to tap on search twice before the keyboard comes up? isnt it clear that I tapped on search to start typing in the search bar? This only happens in your app and only on your search bar, no where else.",2,2025-06-02 03:01:27,Chase,Google Play Store,NEGATIVE,0.9995861649513244,question tap search twice keyboard come not clear tap search start type search bar happen app search bar,Other
sucked,1,2025-06-02 01:55:57,Chase,Google Play Store,NEGATIVE,0.999739944934845,suck,Other
"I needed to lock my card due to a fraudulent charge, but that part of the website isn't working. Now the charge will go through because of this flaw in the website.",1,2025-06-01 22:32:35,Chase,Google Play Store,NEGATIVE,0.9996998310089112,need lock card fraudulent charge website work charge flaw website,Other
good,5,2025-06-01 21:58:09,Chase,Google Play Store,POSITIVE,0.999816119670868,good,Other
very good,5,2025-06-01 21:47:44,Chase,Google Play Store,POSITIVE,0.9998520612716676,good,Other
very good service & so convenient. No hassle no having to ride to the bank. Its just a service that takes an extra load off of a person's back. Thank u 💓,5,2025-06-01 18:53:59,Chase,Google Play Store,POSITIVE,0.9981293082237244,good service convenient hassle have ride bank service take extra load person thank u,Other
been great for us!,5,2025-06-01 18:22:49,Chase,Google Play Store,POSITIVE,0.999821960926056,great,Other
great banking experience,5,2025-06-01 18:10:42,Chase,Google Play Store,POSITIVE,0.9997854828834534,great banking experience,Other
CHASE MOBILE IS A GREATVSITE. EASY TO USE,5,2025-06-01 17:41:55,Chase,Google Play Store,POSITIVE,0.9877979159355164,chase mobile greatvsite easy use,Other
Great Customer Service. Very helpful. Professional but still personable,5,2025-06-01 17:37:21,Chase,Google Play Store,POSITIVE,0.9997902512550354,great customer service helpful professional personable,Customer Support
push app does not work,1,2025-06-01 17:34:54,Chase,Google Play Store,NEGATIVE,0.9997861981391908,push app work,Other
Great app and great customer service,5,2025-06-01 16:27:10,Chase,Google Play Store,POSITIVE,0.9998700618743896,great app great customer service,Customer Support
perfect everything. always.,5,2025-06-01 16:18:37,Chase,Google Play Store,POSITIVE,0.9998786449432372,perfect,Other
great,5,2025-06-01 15:09:47,Chase,Google Play Store,POSITIVE,0.9998630285263062,great,Other
Excellent app,5,2025-06-01 13:57:19,Chase,Google Play Store,POSITIVE,0.9998356103897096,excellent app,Other
slow,1,2025-06-01 13:51:12,Chase,Google Play Store,NEGATIVE,0.9997313618659972,slow,Performance
stop giving our info away.😤,1,2025-06-01 13:49:07,Chase,Google Play Store,NEGATIVE,0.9992222785949708,stop give info away,Other
too many ads that lock up the app 7noess you subscribe.,1,2025-06-01 13:23:26,Chase,Google Play Store,NEGATIVE,0.9994101524353028,ad lock app subscribe,Other
love Chase Bank!! 🩷,5,2025-06-01 13:21:29,Chase,Google Play Store,POSITIVE,0.9994680285453796,love chase bank,Other
It stop working june 01 2025,1,2025-06-01 13:17:16,Chase,Google Play Store,NEGATIVE,0.9991601705551147,stop work june,Other
good,4,2025-06-01 11:32:21,Chase,Google Play Store,POSITIVE,0.999816119670868,good,Other
The service use has worked well for me.,4,2025-06-01 10:54:49,Chase,Google Play Store,POSITIVE,0.9994412064552308,service use work,Other
love it,5,2025-06-01 10:32:03,Chase,Google Play Store,POSITIVE,0.99987530708313,love,Other
good and easy,3,2025-06-01 10:19:36,Chase,Google Play Store,POSITIVE,0.9998574256896972,good easy,Other
so easy and quick great app,5,2025-06-01 09:08:59,Chase,Google Play Store,POSITIVE,0.9998539686203004,easy quick great app,User Experience
I love how simple and easy it is to use.,5,2025-06-01 08:15:57,Chase,Google Play Store,POSITIVE,0.9998445510864258,love simple easy use,Other
Great credit cards. App is clean and easy to use.,5,2025-06-01 07:07:26,Chase,Google Play Store,POSITIVE,0.9993208646774292,great credit card app clean easy use,Other
Great card Great app. period,5,2025-06-01 06:08:17,Chase,Google Play Store,POSITIVE,0.9992699027061462,great card great app period,Other
"Chase told me I needed to use my card, or else they would close that account. I don't want to lose that account because that would hurt my credit score. I just tried to unlock my card for use, but the computer things on Chase's side weren't working, so I couldn't unlock or use it. This is a big reason why my Chase cards aren't my normal to-go assets.",1,2025-06-01 05:23:35,Chase,Google Play Store,NEGATIVE,0.9993852376937866,chase tell need use card close account want lose account hurt credit score try unlock card use computer thing chase work unlock use big reason chase card normal asset,Other
works great no complaints,5,2025-06-01 05:00:07,Chase,Google Play Store,POSITIVE,0.9965609908103944,work great complaint,Other
they don't piss me off. and that's saying a lot.,4,2025-06-01 00:42:58,Chase,Google Play Store,POSITIVE,0.9990403056144714,piss say lot,Other
good,5,2025-05-31 22:52:26,Chase,Google Play Store,POSITIVE,0.999816119670868,good,Other
good service and professional and friendly,5,2025-05-31 21:30:37,Chase,Google Play Store,POSITIVE,0.9998613595962524,good service professional friendly,Other
excellent way to take care of your credit,5,2025-05-31 21:13:49,Chase,Google Play Store,POSITIVE,0.9998558759689332,excellent way care credit,Other
Is a pledger to have Joe bank on your phone. But I need to learn you that a little better too cause. You can hurt you if you don't use it right,5,2025-05-31 18:23:39,Chase,Google Play Store,NEGATIVE,0.9978153705596924,pledger joe bank phone need learn little well cause hurt use right,Other
awesome,5,2025-05-31 18:09:44,Chase,Google Play Store,POSITIVE,0.9998682737350464,awesome,Other
Awesome,5,2025-05-31 16:10:29,Chase,Google Play Store,POSITIVE,0.9998682737350464,awesome,Other
Overall easy to use interface.,5,2025-05-31 15:48:55,Chase,Google Play Store,POSITIVE,0.9983412027359008,overall easy use interface,User Experience
"I don't like the new upgrade of the app, the other way was much simpler",1,2025-05-31 15:14:02,Chase,Google Play Store,NEGATIVE,0.9984832406044006,like new upgrade app way simple,Other
keep up the excellent service,5,2025-05-31 12:35:42,Chase,Google Play Store,POSITIVE,0.9998672008514404,excellent service,Other
best credit card I have,5,2025-05-31 11:51:05,Chase,Google Play Store,POSITIVE,0.9996763467788696,good credit card,Other
Ok,5,2025-05-31 11:30:38,Chase,Google Play Store,POSITIVE,0.9997851252555848,ok,Other
"Galaxy S25 Ultra This is probably the most user friendly banking app I use. It just barely edges out my Navy Federal app. Time is a resource I have little of. Between my 1 hour each way commute to and from work and 10hr work day. I need an app that is straight forward and leaves me with well, to borrow an old Staples slogan: ""That was easy.""-Staples early 2000's. It seems my other apps work on minutes, this app works on seconds. It's stopwatch vs sundial.",5,2025-05-31 11:08:56,Chase,Google Play Store,POSITIVE,0.9439024329185486,galaxy ultra probably user friendly banking app use barely edge navy federal app time resource little hour way commute work work day need app straight forward leave borrow old staple slogan easy early app work minute app work second stopwatch vs sundial,Other
don't like it,1,2025-05-31 10:13:11,Chase,Google Play Store,NEGATIVE,0.9944729208946228,like,Other
"I love the points. App/payments are easy. Just try to pay it off every month, and enjoy the rewards. It's one of my favorite cards. And the one I use most often.",4,2025-05-31 09:34:35,Chase,Google Play Store,POSITIVE,0.9998218417167664,love point app payment easy try pay month enjoy reward favorite card use,Transaction Performance
"It's a good app overall. However, searching for a particular transaction is cumbersome. I wish, like in most other banking apps, searching or filtering transactions by keyword was an option.",3,2025-05-31 07:41:39,Chase,Google Play Store,NEGATIVE,0.9685561656951904,good app overall search particular transaction cumbersome wish like banking app search filtering transaction keyword option,Other
I'm very pleased with the service provided by. Chase.,5,2025-05-31 06:35:39,Chase,Google Play Store,POSITIVE,0.9998540878295898,pleased service provide chase,Other
I switched to Chase after being a PNC customer for years. I really appreciate Chase banking and the great service it provides.,5,2025-05-31 06:24:00,Chase,Google Play Store,POSITIVE,0.9998303651809692,switch chase pnc customer year appreciate chase banking great service provide,Other
do not want others knowing my information. my identity has been utilized twice bad ideal.,2,2025-05-31 06:01:22,Chase,Google Play Store,NEGATIVE,0.998485028743744,want know information identity utilize twice bad ideal,Other
good app,4,2025-05-31 05:46:22,Chase,Google Play Store,POSITIVE,0.9998493194580078,good app,Other
great,5,2025-05-31 05:20:40,Chase,Google Play Store,POSITIVE,0.9998630285263062,great,Other
This is the best app to use and track your credit.,5,2025-05-31 05:17:26,Chase,Google Play Store,POSITIVE,0.9996291399002076,good app use track credit,Other
"awesome company, never disappointed",5,2025-05-31 04:27:35,Chase,Google Play Store,POSITIVE,0.9998652935028076,awesome company disappoint,Other
this app is very important to me being a disabled person with no transportation this app is the only way I can tend to my banking and business transactions to make it through life $1 at a time. thanks Chase,5,2025-05-31 04:26:22,Chase,Google Play Store,NEGATIVE,0.9859387874603271,app important disabled person transportation app way tend banking business transaction life time thank chase,Other
Stopped autofilling my password,1,2025-05-31 04:11:55,Chase,Google Play Store,NEGATIVE,0.9988285899162292,stop autofille password,Account Access
Excellent,5,2025-05-31 02:22:41,Chase,Google Play Store,POSITIVE,0.9998434782028198,excellent,Other
better than I thought. I was hesitant but feeling better now.,5,2025-05-31 00:42:06,Chase,Google Play Store,POSITIVE,0.9982805252075196,well think hesitant feel well,Other
"Another way for chase to push unavoidable marketing on people who are already customers. The app is riddled with ads and popups for loan and credit services and there's no way to disable the neverending onslaught of spam. I'm currently in the process of closing all my chase accounts just so I can get away from their completely unregulated spam. I've written their marketing department at length about this issue, they don't care about what they are doing to their customers. Still true June 2025.",1,2025-05-30 22:38:20,Chase,Google Play Store,NEGATIVE,0.9990931749343872,way chase push unavoidable marketing people customer app riddle ad popup loan credit service way disable neverending onslaught spam currently process close chase account away completely unregulated spam write marketing department length issue care customer true june,Other
"Use it only for Amazon purchases with the Amazon credit card. I love it cause it is convenient and easy to use. customer service is helpful too, so stress less.",5,2025-05-30 22:27:58,Chase,Google Play Store,POSITIVE,0.9942867159843444,use amazon purchase amazon credit card love cause convenient easy use customer service helpful stress,Customer Support
Chase fraud alert lost my preorder of a high-demand item. Your Artificial Intelligence is really just Artificial Stupidity that you're not accountable for. Give me an option to disable.,1,2025-05-30 18:24:15,Chase,Google Play Store,NEGATIVE,0.999775230884552,chase fraud alert lose preorder high demand item artificial intelligence artificial stupidity accountable option disable,Other
The ease of use is very much appreciated.,5,2025-05-30 18:21:12,Chase,Google Play Store,POSITIVE,0.999832272529602,ease use appreciate,Other
This app is great for my credit cards,5,2025-05-30 18:07:41,Chase,Google Play Store,POSITIVE,0.999610960483551,app great credit card,Other
I like it's easy to read the app,5,2025-05-30 15:38:18,Chase,Google Play Store,POSITIVE,0.9987758994102478,like easy read app,Other
I think the UI update for card holders is a general improvement to ease of use.,4,2025-05-30 15:26:20,Chase,Google Play Store,POSITIVE,0.8609030842781067,think ui update card holder general improvement ease use,User Experience
user friendly,5,2025-05-30 14:19:52,Chase,Google Play Store,POSITIVE,0.977589190006256,user friendly,Other
"it's my amazon prime card but I really like it,has alot of offers and if I use it for gas/restaurants I get like 3 points witch adds to my prime and can use to buy things with.considering getting a regular chase card for points.good credit card.i use the app to pay the bill and its easy to navigate also offers a fico credit score for free,can't beat that.",5,2025-05-30 14:19:09,Chase,Google Play Store,POSITIVE,0.9633445739746094,amazon prime card like alot offer use gas restaurant like point witch add prime use buy thing get regular chase card credit use app pay bill easy navigate offer fico credit score free beat,Other
love chase,5,2025-05-30 13:29:33,Chase,Google Play Store,POSITIVE,0.99983811378479,love chase,Other
Excellent service every day.,5,2025-05-30 12:09:48,Chase,Google Play Store,POSITIVE,0.9998681545257568,excellent service day,Other
they are heavily invested in fossil fuels :(,1,2025-05-30 11:53:43,Chase,Google Play Store,NEGATIVE,0.8603881597518921,heavily invest fossil fuel,Other
great app,5,2025-05-30 11:44:31,Chase,Google Play Store,POSITIVE,0.999821126461029,great app,Other
great,5,2025-05-30 11:03:24,Chase,Google Play Store,POSITIVE,0.9998630285263062,great,Other
Easy to navigate and use,5,2025-05-30 10:57:49,Chase,Google Play Store,POSITIVE,0.9996795654296876,easy navigate use,Other
chase has been real good.,5,2025-05-30 09:09:12,Chase,Google Play Store,POSITIVE,0.9998657703399658,chase real good,Other
excellent,5,2025-05-30 07:47:20,Chase,Google Play Store,POSITIVE,0.9998434782028198,excellent,Other
trusted reliable card excellent for use at Amazon,5,2025-05-30 06:46:11,Chase,Google Play Store,POSITIVE,0.9982731342315674,trust reliable card excellent use amazon,Other
constantly has issue's ordering things on Amazon,1,2025-05-30 06:24:22,Chase,Google Play Store,NEGATIVE,0.965077579021454,constantly issue order thing amazon,Other
The credit calculator is real cool on this app,5,2025-05-30 06:23:59,Chase,Google Play Store,POSITIVE,0.9995611310005188,credit calculator real cool app,Other
Awesome!,5,2025-05-30 06:17:59,Chase,Google Play Store,POSITIVE,0.9998664855957032,awesome,Other
I find their interface easy to use your credit score and information very well presented fairly natural to follow,5,2025-05-30 05:45:19,Chase,Google Play Store,POSITIVE,0.997917115688324,find interface easy use credit score information present fairly natural follow,User Experience
good,4,2025-05-30 04:29:27,Chase,Google Play Store,POSITIVE,0.999816119670868,good,Other
Boomskies,5,2025-05-30 02:25:02,Chase,Google Play Store,POSITIVE,0.979999303817749,boomskie,Other
I haven't had any issues that JP Morgan Chase Bank hasn't assisted me with yet.,5,2025-05-30 00:47:35,Chase,Google Play Store,NEGATIVE,0.8808803558349609,issue jp morgan chase bank assist,Other
Great experience with Chase,5,2025-05-30 00:07:28,Chase,Google Play Store,POSITIVE,0.999861478805542,great experience chase,Other
good,5,2025-05-29 20:46:44,Chase,Google Play Store,POSITIVE,0.999816119670868,good,Other
awesome,5,2025-05-29 20:19:06,Chase,Google Play Store,POSITIVE,0.9998682737350464,awesome,Other
Excellent,5,2025-05-29 19:25:32,Chase,Google Play Store,POSITIVE,0.9998434782028198,excellent,Other
A great travel and everyday card.,5,2025-05-29 17:55:09,Chase,Google Play Store,POSITIVE,0.9998724460601808,great travel everyday card,Other
"great app, great service. thank you",5,2025-05-29 16:36:27,Chase,Google Play Store,POSITIVE,0.9998739957809448,great app great service thank,Other
Very Happy With My Service,5,2025-05-29 16:08:33,Chase,Google Play Store,POSITIVE,0.9998693466186525,happy service,Other
I felt my issue was immediate and Chase put me at ease while solving the issue.,5,2025-05-29 15:53:12,Chase,Google Play Store,POSITIVE,0.9995488524436952,feel issue immediate chase ease solve issue,Other
Excellent platform for Chase related banking/credit. Functions as it should.,5,2025-05-29 15:36:19,Chase,Google Play Store,POSITIVE,0.999775230884552,excellent platform chase relate banking credit function,Other
I always pay my bill!!!!!! always on time!!!!!!! one time I didn't notice my automatic bill payer was going to pay one day late I got charged a late fee!!! this was so petty. they never reward me if I pay it early!!!,1,2025-05-29 15:20:47,Chase,Google Play Store,NEGATIVE,0.9963412880897522,pay bill time time notice automatic bill payer go pay day late get charge late fee petty reward pay early,Other
too many requests to rate the app,3,2025-05-29 14:34:39,Chase,Google Play Store,NEGATIVE,0.9995269775390624,request rate app,Other
