review,rating,date,bank,source,sentiment_label,sentiment_score
I love my Chase card!!!,5,2025-06-04 15:37:43,Chase,Google Play Store,POSITIVE,0.9998753070831299
when I have a problem they are right on top of it and take care of it,5,2025-06-04 14:24:29,Chase,Google Play Store,POSITIVE,0.9952530860900879
"Don't use this bank or app unless you want to be constantly asked what you are doing with your money and whatnot. I understand that scamming has become more rampant lately, but good grief. Why I got to explain myself about what I do with my money? Also, if they close your account(s), don't expect an answer if you ask them. They'll just tell you that they don't know when they clearly do. (As a former customer, I feel like I have the right to know why my account(s) were closed)",1,2025-06-04 13:38:33,Chase,Google Play Store,NEGATIVE,0.847353994846344
great bank,5,2025-06-04 12:47:25,Chase,Google Play Store,POSITIVE,0.9988124370574951
The app is easy to use! Love it!,5,2025-06-04 12:18:26,Chase,Google Play Store,POSITIVE,0.9998400211334229
Love having all my Chase accounts in one place.,5,2025-06-04 11:54:04,Chase,Google Play Store,POSITIVE,0.9996955394744873
always so so nice here! wish they could get new/ better working arms? tho,5,2025-06-04 11:10:06,Chase,Google Play Store,POSITIVE,0.9973351359367371
best app ever,5,2025-06-04 09:48:16,Chase,Google Play Store,POSITIVE,0.9997491240501404
19.4% interest rate is usurious but it's Amerikkka where everything is criminally corrupt.,1,2025-06-04 08:55:44,Chase,Google Play Store,NEGATIVE,0.9825802445411682
best ever,5,2025-06-04 08:17:44,Chase,Google Play Store,POSITIVE,0.999841570854187
always great customer service.,5,2025-06-04 07:09:26,Chase,Google Play Store,POSITIVE,0.9998536109924316
wat to much advertising for other credit cards but other then that good product.,4,2025-06-04 06:35:51,Chase,Google Play Store,NEGATIVE,0.826116144657135
very easy to use,5,2025-06-04 04:27:23,Chase,Google Play Store,POSITIVE,0.9991422891616821
too quick to cut off credit need to change their policy,2,2025-06-04 04:07:36,Chase,Google Play Store,NEGATIVE,0.995807409286499
Convenient!,5,2025-06-04 00:32:06,Chase,Google Play Store,POSITIVE,0.9936902523040771
Neither the Chase app or website work for me. I give up trying.,2,2025-06-03 23:39:17,Chase,Google Play Store,NEGATIVE,0.9991996884346008
The app is very streamlined and easy to use.,5,2025-06-03 19:38:51,Chase,Google Play Store,POSITIVE,0.9997501969337463
"works well, quick, secure, 👍🔐",4,2025-06-03 19:16:03,Chase,Google Play Store,POSITIVE,0.999754011631012
Always been there for me.,5,2025-06-03 18:59:15,Chase,Google Play Store,POSITIVE,0.9989185333251953
Best company to deal with by far. 100% pleased all around.,5,2025-06-03 17:28:51,Chase,Google Play Store,POSITIVE,0.9998451471328735
Decent and all but WHY do you have options to edit phone numbers or PINs on the app if I STILL HAVE TO CALL YOU OR VISIT A BRANCH TO CHANGE IT? Why even have the blasted button????,3,2025-06-03 16:17:52,Chase,Google Play Store,NEGATIVE,0.9986472725868225
i dont like people seeing my info.,1,2025-06-03 15:59:13,Chase,Google Play Store,NEGATIVE,0.9864126443862915
great job,5,2025-06-03 15:06:35,Chase,Google Play Store,POSITIVE,0.9998588562011719
use this app for the last 9 years had no problems,5,2025-06-03 13:34:36,Chase,Google Play Store,POSITIVE,0.9567438960075378
Won't load waste of time looking for another bank.,1,2025-06-03 13:34:20,Chase,Google Play Store,NEGATIVE,0.9864745736122131
no raise in few years,3,2025-06-03 12:37:52,Chase,Google Play Store,NEGATIVE,0.9991920590400696
very good,5,2025-06-03 11:13:30,Chase,Google Play Store,POSITIVE,0.9998520612716675
can't even log in to my app to pay my bill. chase won't let me!,1,2025-06-03 10:57:19,Chase,Google Play Store,NEGATIVE,0.993837296962738
Just randomly making the app unusable so I cannot access my stuff,1,2025-06-03 10:26:04,Chase,Google Play Store,NEGATIVE,0.9995800852775574
wonderful app,5,2025-06-03 10:25:43,Chase,Google Play Store,POSITIVE,0.9998787641525269
As of now I have had no problems with Chase Bank.,5,2025-06-03 10:21:44,Chase,Google Play Store,POSITIVE,0.9968727231025696
love chase credit cards,5,2025-06-03 10:20:07,Chase,Google Play Store,POSITIVE,0.9997377991676331
"easy and reliable to use, its easy to understand stand from my prospective",5,2025-06-03 08:10:24,Chase,Google Play Store,POSITIVE,0.9989301562309265
"Chase is great. ""all is well""",5,2025-06-03 07:24:39,Chase,Google Play Store,POSITIVE,0.9998703002929688
knows nothing about my existing account. how am I supposed to login? I hate bank apps,1,2025-06-03 07:16:05,Chase,Google Play Store,NEGATIVE,0.999476969242096
"Easy, reliable, secure financial services... simple banking for my simple needs, but should I ever grow financially I know I'm right where I need to be. With all the advice I can get.",4,2025-06-03 06:34:36,Chase,Google Play Store,POSITIVE,0.9982689619064331
Doesn't allow notifications for when money is deposted. Can't verify new external banks. App needs work.,2,2025-06-03 05:47:11,Chase,Google Play Store,NEGATIVE,0.9990203380584717
some features don't work and the app has become very slow,3,2025-06-03 03:36:31,Chase,Google Play Store,NEGATIVE,0.9997966885566711
best app to check out your account balance and more.,5,2025-06-03 00:45:09,Chase,Google Play Store,POSITIVE,0.9977477192878723
best,5,2025-06-02 23:32:39,Chase,Google Play Store,POSITIVE,0.9997941851615906
This is hard to work.,4,2025-06-02 23:24:53,Chase,Google Play Store,NEGATIVE,0.9997642636299133
the best,5,2025-06-02 21:33:38,Chase,Google Play Store,POSITIVE,0.9998332262039185
love the security they have and the personality of the bankers and the VP very helpful people,5,2025-06-02 21:28:15,Chase,Google Play Store,POSITIVE,0.9998100399971008
great banking app,5,2025-06-02 21:26:47,Chase,Google Play Store,POSITIVE,0.9997250437736511
I love how my card is accepted everywhere and the rewards program is great!!,5,2025-06-02 21:19:51,Chase,Google Play Store,POSITIVE,0.9998816251754761
nise,5,2025-06-02 19:55:07,Chase,Google Play Store,NEGATIVE,0.7907918691635132
Excellent credit service!!!,5,2025-06-02 19:02:44,Chase,Google Play Store,POSITIVE,0.9998601675033569
Easy to use.,5,2025-06-02 18:29:54,Chase,Google Play Store,POSITIVE,0.9991925358772278
very good,4,2025-06-02 18:22:46,Chase,Google Play Store,POSITIVE,0.9998520612716675
👍,5,2025-06-02 17:53:05,Chase,Google Play Store,NEGATIVE,0.6970565915107727
app is so slow now.,1,2025-06-02 14:20:11,Chase,Google Play Store,NEGATIVE,0.9997434020042419
"The mobile Chase app (cell phone) seems to work, but I can not access Chase from my laptop. I am concerned.",1,2025-06-02 14:12:50,Chase,Google Play Store,NEGATIVE,0.885117769241333
good people doing good work,5,2025-06-02 13:56:50,Chase,Google Play Store,POSITIVE,0.9998464584350586
Love Chase rotating 5% bonus categories!,5,2025-06-02 13:44:20,Chase,Google Play Store,POSITIVE,0.9922018051147461
"works good for me, but when it doesn't customer service always professional and polite",5,2025-06-02 13:40:27,Chase,Google Play Store,POSITIVE,0.9950868487358093
it is very user friendly.,5,2025-06-02 13:23:48,Chase,Google Play Store,POSITIVE,0.9949905276298523
easy to use,5,2025-06-02 10:44:41,Chase,Google Play Store,POSITIVE,0.9988542795181274
Easy to navigate,5,2025-06-02 09:50:13,Chase,Google Play Store,POSITIVE,0.9997637867927551
"everything is easy to do, like make a payment",5,2025-06-02 09:42:42,Chase,Google Play Store,POSITIVE,0.9964894652366638
nice points are the best,5,2025-06-02 08:20:51,Chase,Google Play Store,POSITIVE,0.9998478889465332
"Love this app. Thank you, Chase Bank",5,2025-06-02 08:17:44,Chase,Google Play Store,POSITIVE,0.9998596906661987
I love having a bank account with chase bank,5,2025-06-02 07:00:25,Chase,Google Play Store,POSITIVE,0.9987334609031677
very friendly and great customer service,5,2025-06-02 04:52:42,Chase,Google Play Store,POSITIVE,0.9998792409896851
just another brick in the wall.,4,2025-06-02 04:02:13,Chase,Google Play Store,NEGATIVE,0.9979760050773621
"Question, why do I have to tap on search twice before the keyboard comes up? isnt it clear that I tapped on search to start typing in the search bar? This only happens in your app and only on your search bar, no where else.",2,2025-06-02 03:01:27,Chase,Google Play Store,NEGATIVE,0.9995861649513245
sucked,1,2025-06-02 01:55:57,Chase,Google Play Store,NEGATIVE,0.999739944934845
"I needed to lock my card due to a fraudulent charge, but that part of the website isn't working. Now the charge will go through because of this flaw in the website.",1,2025-06-01 22:32:35,Chase,Google Play Store,NEGATIVE,0.9996998310089111
good,5,2025-06-01 21:58:09,Chase,Google Play Store,POSITIVE,0.9998161196708679
very good,5,2025-06-01 21:47:44,Chase,Google Play Store,POSITIVE,0.9998520612716675
very good service & so convenient. No hassle no having to ride to the bank. Its just a service that takes an extra load off of a person's back. Thank u 💓,5,2025-06-01 18:53:59,Chase,Google Play Store,POSITIVE,0.9981293082237244
been great for us!,5,2025-06-01 18:22:49,Chase,Google Play Store,POSITIVE,0.9998219609260559
great banking experience,5,2025-06-01 18:10:42,Chase,Google Play Store,POSITIVE,0.9997854828834534
CHASE MOBILE IS A GREATVSITE. EASY TO USE,5,2025-06-01 17:41:55,Chase,Google Play Store,POSITIVE,0.9877979159355164
Great Customer Service. Very helpful. Professional but still personable,5,2025-06-01 17:37:21,Chase,Google Play Store,POSITIVE,0.9997902512550354
push app does not work,1,2025-06-01 17:34:54,Chase,Google Play Store,NEGATIVE,0.9997861981391907
Great app and great customer service,5,2025-06-01 16:27:10,Chase,Google Play Store,POSITIVE,0.9998700618743896
perfect everything. always.,5,2025-06-01 16:18:37,Chase,Google Play Store,POSITIVE,0.9998786449432373
great,5,2025-06-01 15:09:47,Chase,Google Play Store,POSITIVE,0.9998630285263062
Excellent app,5,2025-06-01 13:57:19,Chase,Google Play Store,POSITIVE,0.9998356103897095
slow,1,2025-06-01 13:51:12,Chase,Google Play Store,NEGATIVE,0.9997313618659973
stop giving our info away.😤,1,2025-06-01 13:49:07,Chase,Google Play Store,NEGATIVE,0.9992222785949707
too many ads that lock up the app 7noess you subscribe.,1,2025-06-01 13:23:26,Chase,Google Play Store,NEGATIVE,0.9994101524353027
love Chase Bank!! 🩷,5,2025-06-01 13:21:29,Chase,Google Play Store,POSITIVE,0.9994680285453796
It stop working june 01 2025,1,2025-06-01 13:17:16,Chase,Google Play Store,NEGATIVE,0.9991601705551147
good,4,2025-06-01 11:32:21,Chase,Google Play Store,POSITIVE,0.9998161196708679
The service use has worked well for me.,4,2025-06-01 10:54:49,Chase,Google Play Store,POSITIVE,0.9994412064552307
love it,5,2025-06-01 10:32:03,Chase,Google Play Store,POSITIVE,0.9998753070831299
good and easy,3,2025-06-01 10:19:36,Chase,Google Play Store,POSITIVE,0.9998574256896973
so easy and quick great app,5,2025-06-01 09:08:59,Chase,Google Play Store,POSITIVE,0.9998539686203003
I love how simple and easy it is to use.,5,2025-06-01 08:15:57,Chase,Google Play Store,POSITIVE,0.9998445510864258
Great credit cards. App is clean and easy to use.,5,2025-06-01 07:07:26,Chase,Google Play Store,POSITIVE,0.9993208646774292
Great card Great app. period,5,2025-06-01 06:08:17,Chase,Google Play Store,POSITIVE,0.9992699027061462
"Chase told me I needed to use my card, or else they would close that account. I don't want to lose that account because that would hurt my credit score. I just tried to unlock my card for use, but the computer things on Chase's side weren't working, so I couldn't unlock or use it. This is a big reason why my Chase cards aren't my normal to-go assets.",1,2025-06-01 05:23:35,Chase,Google Play Store,NEGATIVE,0.9993852376937866
works great no complaints,5,2025-06-01 05:00:07,Chase,Google Play Store,POSITIVE,0.9965609908103943
they don't piss me off. and that's saying a lot.,4,2025-06-01 00:42:58,Chase,Google Play Store,POSITIVE,0.9990403056144714
good,5,2025-05-31 22:52:26,Chase,Google Play Store,POSITIVE,0.9998161196708679
good service and professional and friendly,5,2025-05-31 21:30:37,Chase,Google Play Store,POSITIVE,0.9998613595962524
excellent way to take care of your credit,5,2025-05-31 21:13:49,Chase,Google Play Store,POSITIVE,0.9998558759689331
Is a pledger to have Joe bank on your phone. But I need to learn you that a little better too cause. You can hurt you if you don't use it right,5,2025-05-31 18:23:39,Chase,Google Play Store,NEGATIVE,0.9978153705596924
awesome,5,2025-05-31 18:09:44,Chase,Google Play Store,POSITIVE,0.9998682737350464
Awesome,5,2025-05-31 16:10:29,Chase,Google Play Store,POSITIVE,0.9998682737350464
Overall easy to use interface.,5,2025-05-31 15:48:55,Chase,Google Play Store,POSITIVE,0.9983412027359009
"I don't like the new upgrade of the app, the other way was much simpler",1,2025-05-31 15:14:02,Chase,Google Play Store,NEGATIVE,0.9984832406044006
keep up the excellent service,5,2025-05-31 12:35:42,Chase,Google Play Store,POSITIVE,0.9998672008514404
best credit card I have,5,2025-05-31 11:51:05,Chase,Google Play Store,POSITIVE,0.9996763467788696
Ok,5,2025-05-31 11:30:38,Chase,Google Play Store,POSITIVE,0.9997851252555847
"Galaxy S25 Ultra This is probably the most user friendly banking app I use. It just barely edges out my Navy Federal app. Time is a resource I have little of. Between my 1 hour each way commute to and from work and 10hr work day. I need an app that is straight forward and leaves me with well, to borrow an old Staples slogan: ""That was easy.""-Staples early 2000's. It seems my other apps work on minutes, this app works on seconds. It's stopwatch vs sundial.",5,2025-05-31 11:08:56,Chase,Google Play Store,POSITIVE,0.9439024329185486
don't like it,1,2025-05-31 10:13:11,Chase,Google Play Store,NEGATIVE,0.9944729208946228
"I love the points. App/payments are easy. Just try to pay it off every month, and enjoy the rewards. It's one of my favorite cards. And the one I use most often.",4,2025-05-31 09:34:35,Chase,Google Play Store,POSITIVE,0.9998218417167664
"It's a good app overall. However, searching for a particular transaction is cumbersome. I wish, like in most other banking apps, searching or filtering transactions by keyword was an option.",3,2025-05-31 07:41:39,Chase,Google Play Store,NEGATIVE,0.9685561656951904
I'm very pleased with the service provided by. Chase.,5,2025-05-31 06:35:39,Chase,Google Play Store,POSITIVE,0.9998540878295898
I switched to Chase after being a PNC customer for years. I really appreciate Chase banking and the great service it provides.,5,2025-05-31 06:24:00,Chase,Google Play Store,POSITIVE,0.9998303651809692
do not want others knowing my information. my identity has been utilized twice bad ideal.,2,2025-05-31 06:01:22,Chase,Google Play Store,NEGATIVE,0.9984850287437439
good app,4,2025-05-31 05:46:22,Chase,Google Play Store,POSITIVE,0.9998493194580078
great,5,2025-05-31 05:20:40,Chase,Google Play Store,POSITIVE,0.9998630285263062
This is the best app to use and track your credit.,5,2025-05-31 05:17:26,Chase,Google Play Store,POSITIVE,0.9996291399002075
"awesome company, never disappointed",5,2025-05-31 04:27:35,Chase,Google Play Store,POSITIVE,0.9998652935028076
this app is very important to me being a disabled person with no transportation this app is the only way I can tend to my banking and business transactions to make it through life $1 at a time. thanks Chase,5,2025-05-31 04:26:22,Chase,Google Play Store,NEGATIVE,0.9859387874603271
Stopped autofilling my password,1,2025-05-31 04:11:55,Chase,Google Play Store,NEGATIVE,0.9988285899162292
Excellent,5,2025-05-31 02:22:41,Chase,Google Play Store,POSITIVE,0.9998434782028198
better than I thought. I was hesitant but feeling better now.,5,2025-05-31 00:42:06,Chase,Google Play Store,POSITIVE,0.9982805252075195
"Another way for chase to push unavoidable marketing on people who are already customers. The app is riddled with ads and popups for loan and credit services and there's no way to disable the neverending onslaught of spam. I'm currently in the process of closing all my chase accounts just so I can get away from their completely unregulated spam. I've written their marketing department at length about this issue, they don't care about what they are doing to their customers. Still true June 2025.",1,2025-05-30 22:38:20,Chase,Google Play Store,NEGATIVE,0.9990931749343872
"Use it only for Amazon purchases with the Amazon credit card. I love it cause it is convenient and easy to use. customer service is helpful too, so stress less.",5,2025-05-30 22:27:58,Chase,Google Play Store,POSITIVE,0.9942867159843445
Chase fraud alert lost my preorder of a high-demand item. Your Artificial Intelligence is really just Artificial Stupidity that you're not accountable for. Give me an option to disable.,1,2025-05-30 18:24:15,Chase,Google Play Store,NEGATIVE,0.999775230884552
The ease of use is very much appreciated.,5,2025-05-30 18:21:12,Chase,Google Play Store,POSITIVE,0.999832272529602
This app is great for my credit cards,5,2025-05-30 18:07:41,Chase,Google Play Store,POSITIVE,0.999610960483551
I like it's easy to read the app,5,2025-05-30 15:38:18,Chase,Google Play Store,POSITIVE,0.9987758994102478
I think the UI update for card holders is a general improvement to ease of use.,4,2025-05-30 15:26:20,Chase,Google Play Store,POSITIVE,0.8609030842781067
user friendly,5,2025-05-30 14:19:52,Chase,Google Play Store,POSITIVE,0.9775891900062561
"it's my amazon prime card but I really like it,has alot of offers and if I use it for gas/restaurants I get like 3 points witch adds to my prime and can use to buy things with.considering getting a regular chase card for points.good credit card.i use the app to pay the bill and its easy to navigate also offers a fico credit score for free,can't beat that.",5,2025-05-30 14:19:09,Chase,Google Play Store,POSITIVE,0.9633445739746094
love chase,5,2025-05-30 13:29:33,Chase,Google Play Store,POSITIVE,0.99983811378479
Excellent service every day.,5,2025-05-30 12:09:48,Chase,Google Play Store,POSITIVE,0.9998681545257568
they are heavily invested in fossil fuels :(,1,2025-05-30 11:53:43,Chase,Google Play Store,NEGATIVE,0.8603881597518921
great app,5,2025-05-30 11:44:31,Chase,Google Play Store,POSITIVE,0.999821126461029
great,5,2025-05-30 11:03:24,Chase,Google Play Store,POSITIVE,0.9998630285263062
Easy to navigate and use,5,2025-05-30 10:57:49,Chase,Google Play Store,POSITIVE,0.9996795654296875
chase has been real good.,5,2025-05-30 09:09:12,Chase,Google Play Store,POSITIVE,0.9998657703399658
excellent,5,2025-05-30 07:47:20,Chase,Google Play Store,POSITIVE,0.9998434782028198
trusted reliable card excellent for use at Amazon,5,2025-05-30 06:46:11,Chase,Google Play Store,POSITIVE,0.9982731342315674
constantly has issue's ordering things on Amazon,1,2025-05-30 06:24:22,Chase,Google Play Store,NEGATIVE,0.9650775790214539
The credit calculator is real cool on this app,5,2025-05-30 06:23:59,Chase,Google Play Store,POSITIVE,0.9995611310005188
Awesome!,5,2025-05-30 06:17:59,Chase,Google Play Store,POSITIVE,0.9998664855957031
I find their interface easy to use your credit score and information very well presented fairly natural to follow,5,2025-05-30 05:45:19,Chase,Google Play Store,POSITIVE,0.997917115688324
good,4,2025-05-30 04:29:27,Chase,Google Play Store,POSITIVE,0.9998161196708679
Boomskies,5,2025-05-30 02:25:02,Chase,Google Play Store,POSITIVE,0.979999303817749
I haven't had any issues that JP Morgan Chase Bank hasn't assisted me with yet.,5,2025-05-30 00:47:35,Chase,Google Play Store,NEGATIVE,0.8808803558349609
Great experience with Chase,5,2025-05-30 00:07:28,Chase,Google Play Store,POSITIVE,0.999861478805542
good,5,2025-05-29 20:46:44,Chase,Google Play Store,POSITIVE,0.9998161196708679
awesome,5,2025-05-29 20:19:06,Chase,Google Play Store,POSITIVE,0.9998682737350464
Excellent,5,2025-05-29 19:25:32,Chase,Google Play Store,POSITIVE,0.9998434782028198
A great travel and everyday card.,5,2025-05-29 17:55:09,Chase,Google Play Store,POSITIVE,0.9998724460601807
"great app, great service. thank you",5,2025-05-29 16:36:27,Chase,Google Play Store,POSITIVE,0.9998739957809448
Very Happy With My Service,5,2025-05-29 16:08:33,Chase,Google Play Store,POSITIVE,0.9998693466186523
I felt my issue was immediate and Chase put me at ease while solving the issue.,5,2025-05-29 15:53:12,Chase,Google Play Store,POSITIVE,0.9995488524436951
Excellent platform for Chase related banking/credit. Functions as it should.,5,2025-05-29 15:36:19,Chase,Google Play Store,POSITIVE,0.999775230884552
I always pay my bill!!!!!! always on time!!!!!!! one time I didn't notice my automatic bill payer was going to pay one day late I got charged a late fee!!! this was so petty. they never reward me if I pay it early!!!,1,2025-05-29 15:20:47,Chase,Google Play Store,NEGATIVE,0.9963412880897522
too many requests to rate the app,3,2025-05-29 14:34:39,Chase,Google Play Store,NEGATIVE,0.9995269775390625
awesome,5,2025-05-29 13:47:30,Chase,Google Play Store,POSITIVE,0.9998682737350464
I have trusted Zelle for excellent service for many years.,5,2025-05-29 13:27:48,Chase,Google Play Store,POSITIVE,0.9994713664054871
I love this!,5,2025-05-29 13:25:42,Chase,Google Play Store,POSITIVE,0.9998764991760254
I'm done with chase bank completely. Nothing works either on the app or website. Next week I'm closing ALL my accounts and getting a new bank.,1,2025-05-29 13:19:59,Chase,Google Play Store,NEGATIVE,0.9997076392173767
The app was much simpler for making payments than logging in on line.,5,2025-05-29 13:14:25,Chase,Google Play Store,NEGATIVE,0.9971478581428528
"Great Service , good rewards",5,2025-05-29 12:43:58,Chase,Google Play Store,POSITIVE,0.9998804330825806
good,4,2025-05-29 12:14:11,Chase,Google Play Store,POSITIVE,0.9998161196708679
"Easy to use app, with all you may need and perhaps much more...",5,2025-05-29 12:02:12,Chase,Google Play Store,NEGATIVE,0.5934736728668213
great,5,2025-05-29 11:39:28,Chase,Google Play Store,POSITIVE,0.9998630285263062
Awesome app.,5,2025-05-29 10:35:02,Chase,Google Play Store,POSITIVE,0.9998660087585449
Great Service,5,2025-05-29 10:13:36,Chase,Google Play Store,POSITIVE,0.9998434782028198
A+Perfect!!!,5,2025-05-29 10:06:55,Chase,Google Play Store,POSITIVE,0.9998711347579956
okay so I'm not the biggest fan of Chase however I will say absolutely do love the website and I think the people almost every time are delightful. but the app I like I really like,5,2025-05-29 09:45:44,Chase,Google Play Store,POSITIVE,0.9996950626373291
I love spending your money.,5,2025-05-29 09:33:59,Chase,Google Play Store,POSITIVE,0.9996985197067261
works well,5,2025-05-29 08:54:22,Chase,Google Play Store,POSITIVE,0.9998438358306885
love my card. have had no issues at all,5,2025-05-29 08:21:39,Chase,Google Play Store,POSITIVE,0.9975153207778931
Very happy! Chase really tries hard.,5,2025-05-29 06:42:48,Chase,Google Play Store,POSITIVE,0.9998169541358948
Great option to be able to lock and unlock your card,5,2025-05-29 06:09:36,Chase,Google Play Store,POSITIVE,0.9997043013572693
love the payment options,5,2025-05-29 06:06:15,Chase,Google Play Store,POSITIVE,0.9998451471328735
Great card for overseas travel,4,2025-05-29 05:52:09,Chase,Google Play Store,POSITIVE,0.9995208978652954
Easy to use,5,2025-05-29 05:17:35,Chase,Google Play Store,POSITIVE,0.9988542795181274
sucks,1,2025-05-29 04:23:42,Chase,Google Play Store,NEGATIVE,0.9991297125816345
"great app, give the developers a raise please",5,2025-05-29 01:39:19,Chase,Google Play Store,POSITIVE,0.9998682737350464
update slow,3,2025-05-28 22:20:03,Chase,Google Play Store,NEGATIVE,0.9996381998062134
"I don't know if I trust Chase Bank anymore. I filed a complaint against a company that overcharged me. They charged me 2 times for the same service on the same day. I filed a claim with Chase, and they said it was a legitimate charge. I filed another claim and explained that it was the same charge for the same service on the0 same day. Finally, they did reimburse me. I almost switched banks because of this. If a bank does not have my back, i'm going elsewhere.",3,2025-05-28 16:37:54,Chase,Google Play Store,NEGATIVE,0.9988227486610413
way too much interest,2,2025-05-28 16:04:52,Chase,Google Play Store,NEGATIVE,0.9920427203178406
Chase is dope,5,2025-05-28 15:58:46,Chase,Google Play Store,NEGATIVE,0.8860915899276733
Started using it years ago. Still use it. Just started using more features. Gold! 🪙,5,2025-05-28 15:28:24,Chase,Google Play Store,NEGATIVE,0.9701206684112549
I can't open my account now because of this update. and I don't trust just giving out my ssn and card number. very irresponsible of you.,1,2025-05-28 14:58:12,Chase,Google Play Store,NEGATIVE,0.999596893787384
"This app has the most info about my credit and they make everything really easy for you. This is prob my fav card, just wish the APR wasn't like 28% lol",5,2025-05-28 14:37:42,Chase,Google Play Store,NEGATIVE,0.9951204657554626
message: choose interest saving balance what the hell are they talking about? well I found out - try to make a payment on your card and it makes all of your previous charges come due otherwise you start paying the interest. so I canceled my two cruise bookings - need to be more clear. not going to play this game.,1,2025-05-28 14:21:04,Chase,Google Play Store,NEGATIVE,0.9996019005775452
best bank ever,5,2025-05-28 14:01:40,Chase,Google Play Store,POSITIVE,0.9998133778572083
excited,3,2025-05-28 12:55:40,Chase,Google Play Store,POSITIVE,0.9997768998146057
won't let me log in,1,2025-05-28 12:14:31,Chase,Google Play Store,POSITIVE,0.5229446887969971
"you can log in and do basic things. but if you try and do any investing, it's impossible. the tablet version is unusable. it's like a multi-dollar company made this. and not a multi-billion dollar company. it's making me debate if I want to continue to invest with them.",2,2025-05-28 07:54:05,Chase,Google Play Store,NEGATIVE,0.9986302852630615
exelent service thank you,5,2025-05-28 07:48:22,Chase,Google Play Store,POSITIVE,0.999833345413208
"App should be flexible to work on different types of cell phones,",1,2025-05-28 06:33:45,Chase,Google Play Store,POSITIVE,0.9885916113853455
"i,am so happy with your service",5,2025-05-28 05:56:28,Chase,Google Play Store,POSITIVE,0.9998644590377808
Great update,5,2025-05-28 04:42:23,Chase,Google Play Store,POSITIVE,0.9998306035995483
It very nice layout easy to navigate and understand the process is quick and the process to make payments is very easy. Happy Happy Happy!!! It's organized so it's very easy to see what you are looking for.,5,2025-05-28 00:21:16,Chase,Google Play Store,POSITIVE,0.9998470544815063
